Time,Cpu_Utilization,Memory_Footprint,Cpu_Util_NOSGX,Mem_F_NOSGX,Power_Time,Power_Consumption
1,0,258052,0,291828,0,0.214
2,0.75,275912,0,291804,10,4.03
3,1.74,290696,0.75,312504,20,3.4
4,1.25,313060,0.75,348244,30,0.684
5,0.75,308488,3.77,388072,40,1.3
6,1.75,310864,1.48,460028,50,4.82
7,1.52,312336,0.25,529856,60,0.762
8,1.78,318204,1,601448,70,1.43
9,4.22,324872,0.25,671496,80,2.42
10,0.75,344332,0.25,737528,90,3.33
11,1.25,326928,0.25,811088,100,3.47
12,1.24,327164,0.5,879052,110,4.34
13,0.75,327472,1.5,1023928,120,3.52
14,1,331992,1.25,290776,130,3.46
15,1,332664,0,290776,140,3.55
16,0.75,433360,,,150,4.23
17,0.5,504916,,,160,4.16
18,0.75,573840,,,170,3.92
19,1.24,674204,,,180,0.74
20,0.5,750160,,,190,0.241
21,0.25,360540,,,200,0.214
22,0.25,473388,,,,
23,0.75,545120,,,,
24,0.5,614236,,,,
25,1,683932,,,,
26,0.5,751528,,,,
27,0.5,819460,,,,
28,0.5,889004,,,,
29,0,963092,,,,
30,0.75,1035020,,,,
31,0.75,1102568,,,,
32,0.75,1174300,,,,
33,0.75,1244072,,,,
34,0.75,1315916,,,,
35,0.5,1385712,,,,
36,0.75,1457484,,,,
37,0.5,1526020,,,,
38,0,1526020,,,,
39,0.25,333164,,,,
40,1.24,333664,,,,
41,2.48,340868,,,,
42,0.75,343720,,,,
43,2.72,349128,,,,
44,0.5,388836,,,,
45,0.75,460616,,,,
46,0.5,532500,,,,
47,0.5,604344,,,,
48,1,676368,,,,
49,0.25,745912,,,,
50,0.25,794148,,,,
51,0.25,391736,,,,
52,0.5,461476,,,,
53,0.5,533320,,,,
54,0.5,605068,,,,
55,0.76,670892,,,,
56,1,742416,,,,
57,0.75,812212,,,,
58,0.5,884292,,,,
59,0.5,955984,,,,
60,0.5,1025892,,,,
61,0.75,1097548,,,,
62,0.25,1167276,,,,
63,0,1237212,,,,
64,0.75,1306868,,,,
65,0.5,1369148,,,,
66,0,1368940,,,,
67,0.74,350700,,,,
68,3.24,892256,,,,
69,0.25,351560,,,,
70,0,403880,,,,
71,0.25,435632,,,,
72,10.55,377084,,,,
73,0,376736,,,,
74,11.11,277424,,,,
75,15.17,281148,,,,
76,15.83,284056,,,,
77,15.88,285872,,,,
78,29.37,287320,,,,
79,48.77,299532,,,,
80,49.26,311800,,,,
81,48.89,323932,,,,
82,48.9,336464,,,,
83,49.14,349156,,,,
84,48.89,361148,,,,
85,49.26,373628,,,,
86,49.02,386172,,,,
87,48.9,398740,,,,
88,49.63,410656,,,,
89,48.9,423184,,,,
90,31.13,415988,,,,
91,1.76,416344,,,,
92,7.43,431560,,,,
93,16.13,436736,,,,
94,16.17,440212,,,,
95,15.88,442228,,,,
96,29.06,439096,,,,
97,49.27,451956,,,,
98,50.86,462792,,,,
99,50.25,475140,,,,
100,51.37,486488,,,,
101,50.88,498188,,,,
102,49.88,510828,,,,
103,49.75,523676,,,,
104,50.61,535336,,,,
105,50.98,547940,,,,
106,43.14,412180,,,,
107,2.26,410948,,,,
108,0.5,409148,,,,
109,0.5,408852,,,,
110,0.5,409292,,,,
111,0.5,409144,,,,
112,0.5,409500,,,,
113,3.25,409676,,,,
114,12.59,409928,,,,
115,11.44,410120,,,,
116,0.5,410448,,,,
117,0.49,410416,,,,
118,0.75,410476,,,,
119,1,410644,,,,
120,1.5,410804,,,,
121,0,411008,,,,
122,0.5,410704,,,,
123,0.5,411128,,,,
124,0.25,411080,,,,
125,0.25,411240,,,,
126,0.75,411140,,,,
127,0.5,411624,,,,
128,0.25,411524,,,,
129,0.25,411872,,,,
130,0.25,411780,,,,
131,0.75,411968,,,,
132,0,412296,,,,
133,11.41,412548,,,,
134,12.15,412800,,,,
135,13.47,413140,,,,
136,12.31,413392,,,,
137,13.37,413872,,,,
138,13.4,415392,,,,
139,12.66,415636,,,,
140,10.61,415824,,,,
141,11.91,415208,,,,
142,4.24,415696,,,,
143,2.46,415864,,,,
144,2.25,416096,,,,
145,2,416232,,,,
146,2.97,416092,,,,
147,12.5,434772,,,,
148,15.17,439368,,,,
149,16.38,442476,,,,
150,17.33,442668,,,,
151,42.57,448776,,,,
152,48.4,460824,,,,
153,48.53,473032,,,,
154,49.38,485328,,,,
155,49.14,498096,,,,
156,48.06,509836,,,,
157,49.38,521756,,,,
158,51.11,529968,,,,
159,51.73,543612,,,,
160,51.6,556068,,,,
161,33.65,415744,,,,
162,0.05,415644,,,,
163,0.51,415932,,,,
164,0,416028,,,,
165,0.05,414588,,,,
166,0.75,414892,,,,
167,0.25,415036,,,,
168,0.74,415776,,,,
169,0.25,415776,,,,
170,7.94,416064,,,,
171,30.37,416820,,,,
172,13.33,416808,,,,
173,14.64,416808,,,,
174,13.07,417320,,,,
175,55.81,421860,,,,
176,55.69,422100,,,,
177,70.32,422100,,,,
178,54.91,422100,,,,
179,17.24,256916,,,,
180,0,256908,,,,
181,0,257156,,,,
182,0,256920,,,,
183,0,256920,,,,
184,0,256920,,,,
185,0,256920,,,,
186,0,256920,,,,
187,0,256920,,,,
188,0,256920,,,,
189,0,256140,,,,
190,0,256140,,,,
191,0,256140,,,,
192,0,256140,,,,
193,0,256140,,,,
194,0,256140,,,,
195,0.5,256008,,,,
196,0,256008,,,,
197,0,255988,,,,
198,0.25,256744,,,,
199,0,256744,,,,
200,0,257236,,,,
